pathway,nodes
Pathways of neurodegeneration - multiple diseases,NDUFA2
Pathways of neurodegeneration - multiple diseases,DNAH6
Pathways of neurodegeneration - multiple diseases,PSMD12
Pathways of neurodegeneration - multiple diseases,RAC1
Pathways of neurodegeneration - multiple diseases,RAB1A
Pathways of neurodegeneration - multiple diseases,ADRM1
Pathways of neurodegeneration - multiple diseases,ITPR3
Pathways of neurodegeneration - multiple diseases,WNT6
Pathways of neurodegeneration - multiple diseases,BRAF
Pathways of neurodegeneration - multiple diseases,MAP1LC3C
Pathways of neurodegeneration - multiple diseases,NRBF2
Pathways of neurodegeneration - multiple diseases,NDUFA7
Pathways of neurodegeneration - multiple diseases,SDHD
Pathways of neurodegeneration - multiple diseases,PSMB2
Pathways of neurodegeneration - multiple diseases,SNCA
Pathways of neurodegeneration - multiple diseases,NDUFA9
Pathways of neurodegeneration - multiple diseases,PSMD1
Pathways of neurodegeneration - multiple diseases,DKK4
Pathways of neurodegeneration - multiple diseases,DKK1
Pathways of neurodegeneration - multiple diseases,CALM1
Pathways of neurodegeneration - multiple diseases,GRIN1
Pathways of neurodegeneration - multiple diseases,SLC25A4
Pathways of neurodegeneration - multiple diseases,PSMC1
Pathways of neurodegeneration - multiple diseases,UBE2L3
Pathways of neurodegeneration - multiple diseases,WNT5B
Pathways of neurodegeneration - multiple diseases,KLC1
Pathways of neurodegeneration - multiple diseases,NDUFV3
Pathways of neurodegeneration - multiple diseases,TRAF2
Pathways of neurodegeneration - multiple diseases,NDUFA4
Pathways of neurodegeneration - multiple diseases,PLCB2
Pathways of neurodegeneration - multiple diseases,RAB5A
Pathways of neurodegeneration - multiple diseases,UBA1
Pathways of neurodegeneration - multiple diseases,DNAL1
Cocaine addiction,GNAI2
Cocaine addiction,CREB3L2
Cocaine addiction,ADCY5
Cocaine addiction,NFKB1
Cocaine addiction,GRIN3B
Cocaine addiction,CREB1
Cocaine addiction,GRIN2B
Cocaine addiction,CREB3
Cocaine addiction,JUN
Cocaine addiction,GNAI1
Cocaine addiction,FOSB
Cocaine addiction,GPSM1
Cocaine addiction,GRM3
Cocaine addiction,PRKACG
Cocaine addiction,ATF6B
Cocaine addiction,ATF2
Cocaine addiction,GNAI3
Cocaine addiction,ATF4
Cocaine addiction,PRKACB
Cocaine addiction,DRD2
Cocaine addiction,CDK5R1
Cocaine addiction,GRIN1
Cocaine addiction,PPP1R1B
Cocaine addiction,PRKACA
Cocaine addiction,GRIN3A
Cocaine addiction,GRIN2D
Cocaine addiction,PDYN
Cocaine addiction,CREB3L1
Cocaine addiction,BDNF
Cocaine addiction,RELA
Cocaine addiction,RGS9
Cocaine addiction,CREB3L4
Cocaine addiction,GRM2
Cocaine addiction,CREB5
Cocaine addiction,DLG4
Cocaine addiction,GRIN2C
Cocaine addiction,GRIA2
Cocaine addiction,GNAS
Cocaine addiction,GRIN2A
Cocaine addiction,DRD1
Cocaine addiction,CDK5
Cocaine addiction,CREB3L3
Amphetamine addiction,PRKCA
Amphetamine addiction,CAMK2G
Amphetamine addiction,CACNA1D
Amphetamine addiction,HDAC2
Amphetamine addiction,CREB3L2
Amphetamine addiction,CALML5
Amphetamine addiction,ARC
Amphetamine addiction,ADCY5
Amphetamine addiction,PRKCG
Amphetamine addiction,CALML3
Amphetamine addiction,CAMK2D
Amphetamine addiction,CALM3
Amphetamine addiction,GRIN3B
Amphetamine addiction,CREB1
Amphetamine addiction,PRKCB
Amphetamine addiction,SIRT1
Amphetamine addiction,PPP3CC
Amphetamine addiction,CREB3
Amphetamine addiction,GRIN2B
Amphetamine addiction,FOS
Amphetamine addiction,PPP1CC
Amphetamine addiction,PPP3CB
Amphetamine addiction,PPP3R1
Amphetamine addiction,JUN
Amphetamine addiction,FOSB
Amphetamine addiction,SLC6A3
Amphetamine addiction,CAMK4
Amphetamine addiction,PRKACG
Amphetamine addiction,ATF6B
Amphetamine addiction,PPP3R2
Amphetamine addiction,PPP3CA
Amphetamine addiction,PPP1CA
Amphetamine addiction,ATF2
Amphetamine addiction,ATF4
Amphetamine addiction,CALM2
Amphetamine addiction,CAMK2A
Amphetamine addiction,CALM1
Amphetamine addiction,PRKACB
Amphetamine addiction,CALML4
Amphetamine addiction,GRIN1
Amphetamine addiction,PPP1R1B
Amphetamine addiction,CAMK2B
Amphetamine addiction,CACNA1C
Amphetamine addiction,PRKACA
Amphetamine addiction,GRIN3A
Amphetamine addiction,GRIN2D
Amphetamine addiction,PDYN
Amphetamine addiction,CREB3L1
Amphetamine addiction,GRIA4
Amphetamine addiction,CALML6
Amphetamine addiction,GRIA3
Amphetamine addiction,PPP1CB
Amphetamine addiction,CREB3L4
Amphetamine addiction,CREB5
Amphetamine addiction,GRIA2
Amphetamine addiction,GRIN2C
Amphetamine addiction,HDAC1
Amphetamine addiction,GNAS
Amphetamine addiction,STX1A
Amphetamine addiction,GRIN2A
Amphetamine addiction,GRIA1
Amphetamine addiction,DRD1
Amphetamine addiction,CREB3L3
Morphine addiction,PRKCA
Morphine addiction,GNAI2
Morphine addiction,GRK3
Morphine addiction,ADCY1
Morphine addiction,GNB2
Morphine addiction,KCNJ5
Morphine addiction,ADCY5
Morphine addiction,PRKCG
Morphine addiction,GNG10
Morphine addiction,GNGT1
Morphine addiction,ARRB2
Morphine addiction,GNB3
Morphine addiction,ADCY3
Morphine addiction,GRK2
Morphine addiction,GNGT2
Morphine addiction,PRKCB
Morphine addiction,KCNJ6
Morphine addiction,CACNA1A
Morphine addiction,OPRM1
Morphine addiction,ADCY6
Morphine addiction,CACNA1B
Morphine addiction,GNG13
Morphine addiction,GNAI1
Morphine addiction,GABBR2
Morphine addiction,KCNJ9
Morphine addiction,ADCY7
Morphine addiction,KCNJ3
Morphine addiction,PRKACG
Morphine addiction,GNG3
Morphine addiction,GABBR1
Morphine addiction,GNAO1
Morphine addiction,ARRB1
Morphine addiction,GNB5
Morphine addiction,GNAI3
Morphine addiction,ADCY9
Morphine addiction,GNG2
Morphine addiction,GRK6
Morphine addiction,PRKACB
Morphine addiction,ADCY8
Morphine addiction,GRK5
Morphine addiction,PRKACA
Morphine addiction,ADCY2
Morphine addiction,GRK4
Morphine addiction,GNB1
Morphine addiction,ADCY4
Morphine addiction,GNG7
Morphine addiction,GNAS
Morphine addiction,GNG5
Morphine addiction,GNG4
Morphine addiction,GNG12
Morphine addiction,GNG8
Morphine addiction,GNB4
Morphine addiction,GNG11
Morphine addiction,DRD1
Alcoholism,H3C12
Alcoholism,ADCY5
Alcoholism,GNG10
Alcoholism,H2BC14
Alcoholism,CREB1
Alcoholism,GNGT2
Alcoholism,SOS2
Alcoholism,H4-16
Alcoholism,GNAI1
Alcoholism,FOSB
Alcoholism,PRKACG
Alcoholism,H2AC6
Alcoholism,H2AC18
Alcoholism,H2AC12
Alcoholism,HDAC6
Alcoholism,ATF2
Alcoholism,GNAI3
Alcoholism,H2BC12L
Alcoholism,HDAC11
Alcoholism,PRKACB
Alcoholism,CALML4
Alcoholism,PPP1R1B
Alcoholism,HDAC3
Alcoholism,GRIN3A
Alcoholism,GRIN2D
Alcoholism,HRAS
Alcoholism,H3C2
Alcoholism,H2AC4
Alcoholism,H3C8
Alcoholism,GRIN2C
Alcoholism,H2AZ1
Alcoholism,GNG5
Alcoholism,GNG4
Alcoholism,MAPK3
Alcoholism,GNG12
Alcoholism,H4C1
Alcoholism,HDAC7
Alcoholism,H4C4
Alcoholism,H2BC7
Alcoholism,CALML5
Alcoholism,HDAC10
Alcoholism,KRAS
Alcoholism,GNGT1
Alcoholism,GNB3
Alcoholism,H4C9
Alcoholism,CALM3
Alcoholism,ADORA2A
Alcoholism,H2BC11
Alcoholism,CAMKK2
Alcoholism,GRIN2B
Alcoholism,CREB3
Alcoholism,HAT1
Alcoholism,PPP1CC
Alcoholism,MAPK1
Alcoholism,H3C6
Alcoholism,H2AC19
Alcoholism,H2AC1
Alcoholism,CAMK4
Alcoholism,H3C10
Alcoholism,ATF6B
Alcoholism,HDAC5
Alcoholism,GNG3
Alcoholism,H2BC12
Alcoholism,H4C11
Alcoholism,H3C1
Alcoholism,PPP1CA
Alcoholism,H2BC10
Alcoholism,HDAC4
Alcoholism,ATF4
Alcoholism,H3-3A
Alcoholism,CALM2
Alcoholism,H2AC8
Alcoholism,NRAS
Alcoholism,ARAF
Alcoholism,CREB3L1
Alcoholism,H2BC17
Alcoholism,H4C14
Alcoholism,MACROH2A1
Alcoholism,H2BC5
Alcoholism,H2BW1
Alcoholism,HDAC9
Alcoholism,H4C13
Alcoholism,H4C7
Alcoholism,GNG11
Alcoholism,H2BC3
Alcoholism,GNAI2
Alcoholism,H2AC13
Alcoholism,H2BC9
Alcoholism,GNB2
Alcoholism,HDAC2
Alcoholism,CREB3L2
Alcoholism,H2AZ2
Alcoholism,CALML3
Alcoholism,H2BC13
Alcoholism,GRIN3B
Alcoholism,H4C5
Alcoholism,GNG13
Alcoholism,HDAC8
Alcoholism,H2BC4
Alcoholism,H2AC11
Alcoholism,H2BC18
Alcoholism,H2BC1
Alcoholism,H2AC16
Alcoholism,GNG2
Alcoholism,H4C3
Alcoholism,H2AC20
Alcoholism,CAMKK1
Alcoholism,DRD2
Alcoholism,H3C13
Alcoholism,BDNF
Alcoholism,NTRK2
Alcoholism,CALML6
Alcoholism,H2AC7
Alcoholism,LOC102724334
Alcoholism,H2AB1
Alcoholism,SOS1
Alcoholism,CREB5
Alcoholism,H4C6
Alcoholism,H2AC14
Alcoholism,H2BC8
Alcoholism,H2AX
Alcoholism,H4C12
Alcoholism,GNB4
Alcoholism,H2BU1
Alcoholism,CREB3L3
Alcoholism,H3C7
Alcoholism,H3-4
Alcoholism,H4C15
Alcoholism,BRAF
Alcoholism,H4C2
Alcoholism,H2AB2
Alcoholism,H3C3
Alcoholism,H3-3B
Alcoholism,H2BC15
Alcoholism,H3C4
Alcoholism,H3C11
Alcoholism,H4C8
Alcoholism,NPY
Alcoholism,MAP2K1
Alcoholism,H2AW
Alcoholism,H2BK1
Alcoholism,CRH
Alcoholism,H2AC15
Alcoholism,H3C14
Alcoholism,H2AC21
Alcoholism,H2AC17
Alcoholism,H2BC6
Alcoholism,GNAO1
Alcoholism,H2BC21
Alcoholism,GNB5
Alcoholism,ADORA2B
Alcoholism,PKIA
Alcoholism,H2BW2
Alcoholism,CALM1
Alcoholism,H2AJ
Alcoholism,GRIN1
Alcoholism,RAF1
Alcoholism,H3-5
Alcoholism,PRKACA
Alcoholism,MACROH2A2
Alcoholism,PDYN
Alcoholism,GNB1
Alcoholism,GNG7
Alcoholism,PPP1CB
Alcoholism,CREB3L4
Alcoholism,HDAC1
Alcoholism,GNAS
Alcoholism,GNG8
Alcoholism,GRIN2A
Alcoholism,DRD1
Alcoholism,H3C15
Alcoholism,H2AB3
Bacterial invasion of epithelial cells,ARPC2
Bacterial invasion of epithelial cells,GAB1
Bacterial invasion of epithelial cells,ACTR3
Bacterial invasion of epithelial cells,CDH1
Bacterial invasion of epithelial cells,ACTB
Bacterial invasion of epithelial cells,CRKL
Bacterial invasion of epithelial cells,ACTG1
Bacterial invasion of epithelial cells,ELMO3
Bacterial invasion of epithelial cells,CTNNA2
Bacterial invasion of epithelial cells,ACTR3B
Bacterial invasion of epithelial cells,DNM3
Bacterial invasion of epithelial cells,ARPC1A
Bacterial invasion of epithelial cells,ELMO2
Bacterial invasion of epithelial cells,ELMO1
Bacterial invasion of epithelial cells,DNM1
Bacterial invasion of epithelial cells,ARPC1B
Bacterial invasion of epithelial cells,ARPC5
Bacterial invasion of epithelial cells,CBL
Bacterial invasion of epithelial cells,PIK3R2
Bacterial invasion of epithelial cells,RHOA
Bacterial invasion of epithelial cells,ACTR2
Bacterial invasion of epithelial cells,PIK3CA
Bacterial invasion of epithelial cells,WASL
Bacterial invasion of epithelial cells,CTNNA3
Bacterial invasion of epithelial cells,DNM2
Bacterial invasion of epithelial cells,FN1
Bacterial invasion of epithelial cells,ARHGEF26
Bacterial invasion of epithelial cells,CTNNB1
Bacterial invasion of epithelial cells,VCL
Bacterial invasion of epithelial cells,CTNNA1
Bacterial invasion of epithelial cells,PIK3CB
Bacterial invasion of epithelial cells,PTK2
Bacterial invasion of epithelial cells,ILK
Bacterial invasion of epithelial cells,PIK3R3
Bacterial invasion of epithelial cells,ITGA5
Bacterial invasion of epithelial cells,ITGB1
Bacterial invasion of epithelial cells,ARPC4
Bacterial invasion of epithelial cells,HCLS1
Bacterial invasion of epithelial cells,PIK3CD
Bacterial invasion of epithelial cells,ARPC5L
Bacterial invasion of epithelial cells,PIK3R1
Bacterial invasion of epithelial cells,MET
Bacterial invasion of epithelial cells,WASF2
Bacterial invasion of epithelial cells,ACTR3C
Bacterial invasion of epithelial cells,ARPC3
Bacterial invasion of epithelial cells,PXN
Bacterial invasion of epithelial cells,RAC1
Bacterial invasion of epithelial cells,BCAR1
Bacterial invasion of epithelial cells,DOCK1
Bacterial invasion of epithelial cells,CTTN
Bacterial invasion of epithelial cells,WASF1
Bacterial invasion of epithelial cells,ARHGAP10
Bacterial invasion of epithelial cells,RHOG
Bacterial invasion of epithelial cells,SRC
Bacterial invasion of epithelial cells,CDC42
Bacterial invasion of epithelial cells,CRK
Vibrio cholerae infection,PRKCA
Vibrio cholerae infection,SLC12A2
Vibrio cholerae infection,ACTB
Vibrio cholerae infection,ACTG1
Vibrio cholerae infection,ADCY9
Vibrio cholerae infection,PDIA4
Vibrio cholerae infection,GNAS
Vibrio cholerae infection,PRKACB
Vibrio cholerae infection,PLCG1
Vibrio cholerae infection,CFTR
Vibrio cholerae infection,PRKACG
Vibrio cholerae infection,ADCY3
Vibrio cholerae infection,PRKACA
Vibrio cholerae infection,PLCG2
Vibrio cholerae infection,ERO1A
Vibrio cholerae infection,KCNQ1
Epithelial cell signaling in Helicobacter pylori infection,IKBKB
Epithelial cell signaling in Helicobacter pylori infection,F11R
Epithelial cell signaling in Helicobacter pylori infection,MAP2K4
Epithelial cell signaling in Helicobacter pylori infection,CXCL2
Epithelial cell signaling in Helicobacter pylori infection,TJP1
Epithelial cell signaling in Helicobacter pylori infection,IGSF5
Epithelial cell signaling in Helicobacter pylori infection,MAPK11
Epithelial cell signaling in Helicobacter pylori infection,NFKB1
Epithelial cell signaling in Helicobacter pylori infection,PAK1
Epithelial cell signaling in Helicobacter pylori infection,EGFR
Epithelial cell signaling in Helicobacter pylori infection,MAPK10
Epithelial cell signaling in Helicobacter pylori infection,JAM2
Epithelial cell signaling in Helicobacter pylori infection,JUN
Epithelial cell signaling in Helicobacter pylori infection,PTPRZ1
Epithelial cell signaling in Helicobacter pylori infection,CCL5
Epithelial cell signaling in Helicobacter pylori infection,CXCL8
Epithelial cell signaling in Helicobacter pylori infection,MAPK8
Epithelial cell signaling in Helicobacter pylori infection,MAPK13
Epithelial cell signaling in Helicobacter pylori infection,GIT1
Epithelial cell signaling in Helicobacter pylori infection,MAPK9
Epithelial cell signaling in Helicobacter pylori infection,ADAM17
Epithelial cell signaling in Helicobacter pylori infection,CXCR2
Epithelial cell signaling in Helicobacter pylori infection,NOD1
Epithelial cell signaling in Helicobacter pylori infection,CXCL3
Epithelial cell signaling in Helicobacter pylori infection,RELA
Epithelial cell signaling in Helicobacter pylori infection,MAPK12
Epithelial cell signaling in Helicobacter pylori infection,MAPK14
Epithelial cell signaling in Helicobacter pylori infection,ADAM10
Epithelial cell signaling in Helicobacter pylori infection,JAM3
Epithelial cell signaling in Helicobacter pylori infection,NFKBIA
Epithelial cell signaling in Helicobacter pylori infection,LYN
Epithelial cell signaling in Helicobacter pylori infection,CXCR1
Epithelial cell signaling in Helicobacter pylori infection,CXCL1
Epithelial cell signaling in Helicobacter pylori infection,IKBKG
Epithelial cell signaling in Helicobacter pylori infection,SRC
Epithelial cell signaling in Helicobacter pylori infection,HBEGF
Epithelial cell signaling in Helicobacter pylori infection,CHUK
Epithelial cell signaling in Helicobacter pylori infection,MAP3K14
Epithelial cell signaling in Helicobacter pylori infection,CSK
Pathogenic Escherichia coli infection,TUBB2A
Pathogenic Escherichia coli infection,ACTG1
Pathogenic Escherichia coli infection,FAS
Pathogenic Escherichia coli infection,TLR5
Pathogenic Escherichia coli infection,CASP3
Pathogenic Escherichia coli infection,TAB1
Pathogenic Escherichia coli infection,ARPC1A
Pathogenic Escherichia coli infection,CASP7
Pathogenic Escherichia coli infection,ROCK1
Pathogenic Escherichia coli infection,MYO1F
Pathogenic Escherichia coli infection,TUBA1C
Pathogenic Escherichia coli infection,TUBA1A
Pathogenic Escherichia coli infection,NCK2
Pathogenic Escherichia coli infection,ARF6
Pathogenic Escherichia coli infection,MYO1B
Pathogenic Escherichia coli infection,WASL
Pathogenic Escherichia coli infection,CASP4
Pathogenic Escherichia coli infection,IL1R1
Pathogenic Escherichia coli infection,MAPK13
Pathogenic Escherichia coli infection,CXCL8
Pathogenic Escherichia coli infection,LPAR1
Pathogenic Escherichia coli infection,MAPK9
Pathogenic Escherichia coli infection,ARF1
Pathogenic Escherichia coli infection,TIRAP
Pathogenic Escherichia coli infection,NLRP3
Pathogenic Escherichia coli infection,GNA12
Pathogenic Escherichia coli infection,WASF2
Pathogenic Escherichia coli infection,ARPC3
Pathogenic Escherichia coli infection,MAPK12
Pathogenic Escherichia coli infection,NLRP4
Pathogenic Escherichia coli infection,BRK1
Pathogenic Escherichia coli infection,RPS3
Pathogenic Escherichia coli infection,TLR4
Pathogenic Escherichia coli infection,NFKBIA
Pathogenic Escherichia coli infection,MAPK3
Pathogenic Escherichia coli infection,MYO1H
Pathogenic Escherichia coli infection,ARHGEF1
Pathogenic Escherichia coli infection,TUBB8
Pathogenic Escherichia coli infection,IKBKG
Pathogenic Escherichia coli infection,LPAR2
Pathogenic Escherichia coli infection,ROCK2
Pathogenic Escherichia coli infection,CDC42
Pathogenic Escherichia coli infection,CHUK
Pathogenic Escherichia coli infection,ARPC2
Pathogenic Escherichia coli infection,ACTB
Pathogenic Escherichia coli infection,ACTR3B
Pathogenic Escherichia coli infection,NFKB1
Pathogenic Escherichia coli infection,TUBB2B
Pathogenic Escherichia coli infection,MAPK10
Pathogenic Escherichia coli infection,F2R
Pathogenic Escherichia coli infection,RHOA
Pathogenic Escherichia coli infection,MYO6
Pathogenic Escherichia coli infection,MAPK1
Pathogenic Escherichia coli infection,WASF3
Pathogenic Escherichia coli infection,MYO1A
Pathogenic Escherichia coli infection,LOC102723407
Pathogenic Escherichia coli infection,MYO1D
Pathogenic Escherichia coli infection,MYO1C
Pathogenic Escherichia coli infection,WIPF1
Pathogenic Escherichia coli infection,MAPK8
Pathogenic Escherichia coli infection,EZR
Pathogenic Escherichia coli infection,CYTH1
Pathogenic Escherichia coli infection,ARPC5L
Pathogenic Escherichia coli infection,TUBB1
Pathogenic Escherichia coli infection,TUBA4A
Pathogenic Escherichia coli infection,TUBA3E
Pathogenic Escherichia coli infection,RELA
Pathogenic Escherichia coli infection,TRADD
Pathogenic Escherichia coli infection,TNFRSF1A
Pathogenic Escherichia coli infection,TUBAL3
Pathogenic Escherichia coli infection,LPAR5
Pathogenic Escherichia coli infection,ABCF2
Pathogenic Escherichia coli infection,FADD
Pathogenic Escherichia coli infection,PYCARD
Pathogenic Escherichia coli infection,IKBKB
Pathogenic Escherichia coli infection,MYH9
Pathogenic Escherichia coli infection,ACTR3
Pathogenic Escherichia coli infection,RIPK1
Pathogenic Escherichia coli infection,MAPK11
Pathogenic Escherichia coli infection,ARPC1B
Pathogenic Escherichia coli infection,IL6
Pathogenic Escherichia coli infection,ARPC5
Pathogenic Escherichia coli infection,TNFRSF10B
Pathogenic Escherichia coli infection,FASLG
Pathogenic Escherichia coli infection,CYTH3
Pathogenic Escherichia coli infection,MYO5C
Pathogenic Escherichia coli infection,TNFRSF10A
Pathogenic Escherichia coli infection,ARHGEF2
Pathogenic Escherichia coli infection,JUN
Pathogenic Escherichia coli infection,WIPF2
Pathogenic Escherichia coli infection,ARHGEF11
Pathogenic Escherichia coli infection,TUBB3
Pathogenic Escherichia coli infection,NFKBIB
Pathogenic Escherichia coli infection,MAP3K7
Pathogenic Escherichia coli infection,IRAK1
Pathogenic Escherichia coli infection,MYH14
Pathogenic Escherichia coli infection,NCKAP1
Pathogenic Escherichia coli infection,TUBB4A
Pathogenic Escherichia coli infection,TUBB4B
Pathogenic Escherichia coli infection,F2
Pathogenic Escherichia coli infection,TAB3
Pathogenic Escherichia coli infection,CYCS
Pathogenic Escherichia coli infection,SLC9A3R1
Pathogenic Escherichia coli infection,CYFIP2
Pathogenic Escherichia coli infection,PTPN6
Pathogenic Escherichia coli infection,ACTR3C
Pathogenic Escherichia coli infection,CASP8
Pathogenic Escherichia coli infection,RAC1
Pathogenic Escherichia coli infection,BAK1
Pathogenic Escherichia coli infection,LPAR4
Pathogenic Escherichia coli infection,CYTH2
Pathogenic Escherichia coli infection,CASP1
Pathogenic Escherichia coli infection,SRC
Pathogenic Escherichia coli infection,IL1B
Pathogenic Escherichia coli infection,TRAF6
Pathogenic Escherichia coli infection,TUBB
Pathogenic Escherichia coli infection,MYH11
Pathogenic Escherichia coli infection,IL18
Pathogenic Escherichia coli infection,MYO10
Pathogenic Escherichia coli infection,PTPN11
Pathogenic Escherichia coli infection,CASP9
Pathogenic Escherichia coli infection,MYO1G
Pathogenic Escherichia coli infection,ARHGEF12
Pathogenic Escherichia coli infection,MYD88
Pathogenic Escherichia coli infection,FCGR2A
Pathogenic Escherichia coli infection,FOS
Pathogenic Escherichia coli infection,ACTR2
Pathogenic Escherichia coli infection,MYO5A
Pathogenic Escherichia coli infection,TNFSF10
Pathogenic Escherichia coli infection,NCKAP1L
Pathogenic Escherichia coli infection,NCK1
Pathogenic Escherichia coli infection,TUBA3C
Pathogenic Escherichia coli infection,TMBIM6
Pathogenic Escherichia coli infection,TNF
Pathogenic Escherichia coli infection,CYTH4
Pathogenic Escherichia coli infection,WIPF3
Pathogenic Escherichia coli infection,TUBA3D
Pathogenic Escherichia coli infection,GNA13
Pathogenic Escherichia coli infection,MYO5B
Pathogenic Escherichia coli infection,IRAK4
Pathogenic Escherichia coli infection,ARPC4
Pathogenic Escherichia coli infection,MYO1E
Pathogenic Escherichia coli infection,TUBB6
Pathogenic Escherichia coli infection,CYFIP1
Pathogenic Escherichia coli infection,NAIP
Pathogenic Escherichia coli infection,GAPDH
Pathogenic Escherichia coli infection,TUBA1B
Pathogenic Escherichia coli infection,ABI1
Pathogenic Escherichia coli infection,TRAF2
Pathogenic Escherichia coli infection,MAPK14
Pathogenic Escherichia coli infection,TUBA8
Pathogenic Escherichia coli infection,TAB2
Pathogenic Escherichia coli infection,WASF1
Pathogenic Escherichia coli infection,MYH10
Pathogenic Escherichia coli infection,BAX
Shigellosis,H3C12
Shigellosis,SEPTIN9
Shigellosis,ACTG1
Shigellosis,TLR5
Shigellosis,TAB1
Shigellosis,ARPC1A
Shigellosis,ELMO1
Shigellosis,PLCD3
Shigellosis,ROCK1
Shigellosis,RPS6KB2
Shigellosis,ACTN4
Shigellosis,RRAGD
Shigellosis,SEPTIN11
Shigellosis,PLCB3
Shigellosis,RRAGC
Shigellosis,MYL9
Shigellosis,GLMN
Shigellosis,ARF6
Shigellosis,MYL7
Shigellosis,WASL
Shigellosis,CASP4
Shigellosis,CAPNS1
Shigellosis,IL1R1
Shigellosis,MALT1
Shigellosis,ACTN1
Shigellosis,TP53
Shigellosis,CXCL8
Shigellosis,PRKCQ
Shigellosis,ITGB1
Shigellosis,MAPK9
Shigellosis,ARF1
Shigellosis,RBCK1
Shigellosis,NLRP3
Shigellosis,WASF2
Shigellosis,TNIP1
Shigellosis,CBX3
Shigellosis,SQSTM1
Shigellosis,ARPC3
Shigellosis,UBE2N
Shigellosis,H3C2
Shigellosis,H3C8
Shigellosis,TLR4
Shigellosis,SEPTIN6
Shigellosis,DIAPH1
Shigellosis,NFKBIA
Shigellosis,UBE2V2
Shigellosis,VDAC1
Shigellosis,MYLPF
Shigellosis,MAPK3
Shigellosis,BCAR1
Shigellosis,SKP1
Shigellosis,IKBKG
Shigellosis,ROCK2
Shigellosis,CDC42
Shigellosis,CHUK
Shigellosis,CUL1
Shigellosis,PPID
Shigellosis,AKT1S1
Shigellosis,ARPC2
Shigellosis,HK1
Shigellosis,WIPI1
Shigellosis,UBE2V1
Shigellosis,ACTB
Shigellosis,RBX1
Shigellosis,PLCB4
Shigellosis,SHARPIN
Shigellosis,ACTR3B
Shigellosis,FNBP1
Shigellosis,IFNB1
Shigellosis,NFKB1
Shigellosis,ATG16L1
Shigellosis,RPTOR
Shigellosis,MAPK10
Shigellosis,BCL2
Shigellosis,FOXO1
Shigellosis,PLCB1
Shigellosis,AKT2
Shigellosis,RHOA
Shigellosis,MAPK1
Shigellosis,UBE2D1
Shigellosis,H3C6
Shigellosis,FNBP1L
Shigellosis,H3C10
Shigellosis,ATG5
Shigellosis,CAPN2
Shigellosis,MYL10
Shigellosis,ATM
Shigellosis,PLCG2
Shigellosis,CALCOCO2
Shigellosis,PTK2
Shigellosis,H3C1
Shigellosis,WIPI2
Shigellosis,ILK
Shigellosis,CCL5
Shigellosis,H3-3A
Shigellosis,MAPK8
Shigellosis,PLCE1
Shigellosis,CAST
Shigellosis,CYTH1
Shigellosis,GSK3B
Shigellosis,ARPC5L
Shigellosis,NOD1
Shigellosis,PRKCD
Shigellosis,RELA
Shigellosis,TRADD
Shigellosis,MDM2
Shigellosis,UBC
Shigellosis,BNIP3
Shigellosis,ITPR2
Shigellosis,DOCK1
Shigellosis,NLRC4
Shigellosis,UBE2D2
Shigellosis,TNFRSF1A
Shigellosis,RRAGB
Shigellosis,SEPTIN3
Shigellosis,MAP1LC3B
Shigellosis,PYCARD
Shigellosis,IKBKB
Shigellosis,U2AF1L4
Shigellosis,ACTR3
Shigellosis,RIPK1
Shigellosis,ELMO2
Shigellosis,RPS6KA5
Shigellosis,TIFA
Shigellosis,PLCG1
Shigellosis,CD14
Shigellosis,ARPC1B
Shigellosis,AKT1
Shigellosis,ARPC5
Shigellosis,MAP1LC3B2
Shigellosis,CYTH3
Shigellosis,FOXO6
Shigellosis,ATG12
Shigellosis,C3
Shigellosis,UBE2D3
Shigellosis,ARHGEF2
Shigellosis,MTOR
Shigellosis,JUN
Shigellosis,UBE2NL
Shigellosis,NFKBIB
Shigellosis,SEPTIN7
Shigellosis,MAP3K7
Shigellosis,PFN4
Shigellosis,FBXW11
Shigellosis,TBK1
Shigellosis,SEPTIN8
Shigellosis,PIK3R3
Shigellosis,MYL12B
Shigellosis,PFN3
Shigellosis,RRAGA
Shigellosis,UBB
Shigellosis,FOXO3
Shigellosis,MAP1LC3A
Shigellosis,HK2
Shigellosis,TAB3
Shigellosis,PIK3CD
Shigellosis,CYCS
Shigellosis,PIK3R1
Shigellosis,H3C13
Shigellosis,STING1
Shigellosis,ACTR3C
Shigellosis,CGAS
Shigellosis,UBA52
Shigellosis,CSF2
Shigellosis,RAC1
Shigellosis,CTTN
Shigellosis,MYL12A
Shigellosis,CYTH2
Shigellosis,LOC102724594
Shigellosis,CASP1
Shigellosis,SRC
Shigellosis,IL1B
Shigellosis,TRAF6
Shigellosis,VCL
Shigellosis,RNF31
Shigellosis,H3C7
Shigellosis,CRK
Shigellosis,BCL10
Shigellosis,ITPR3
Shigellosis,CRKL
Shigellosis,TECPR1
Shigellosis,HK3
Shigellosis,H3-4
Shigellosis,SEPTIN12
Shigellosis,IL18
Shigellosis,MAP1LC3C
Shigellosis,BTRC
Shigellosis,GSK3A
Shigellosis,PLCZ1
Shigellosis,EGFR
Shigellosis,H3-3B
Shigellosis,H3C3
Shigellosis,FOXO4
Shigellosis,H3C4
Shigellosis,H3C11
Shigellosis,MYD88
Shigellosis,PIK3R2
Shigellosis,PIK3CA
Shigellosis,ACTR2
Shigellosis,CAPN1
